fecha,producto,cantidad_vendida,precio
30/01/2024,Extensión eléctrica,15,1548.78
31/01/2024,Arandelas,41,266.09
31/01/2024,Trapo industrial,64,1277.03
01/02/2024,Yeso,33,2060.65
01/02/2024,Trapo industrial,2,1277.03
01/02/2024,Cutter,65,824.47
02/02/2024,Trapo industrial,97,1277.03
02/02/2024,Martillo,30,424.97
02/02/2024,Desarmador plano,16,534.85
03/02/2024,Pijas,63,322.86
03/02/2024,Grapas metálicas,75,401.56
03/02/2024,Extensión eléctrica,56,1548.78
04/02/2024,Llave allen,74,567.73
04/02/2024,Codo PVC,36,2375.53
05/02/2024,Llave allen,99,567.73
05/02/2024,Rodillo para pintura,30,966.21
05/02/2024,Cinta métrica,97,649.2
06/02/2024,Guantes de látex,66,1221.16
06/02/2024,Guantes de látex,31,1221.16
06/02/2024,Guantes de látex,40,1221.16
07/02/2024,Espátula metálica,39,1201.86
07/02/2024,Desarmador de cruz,99,535.8
07/02/2024,Cutter,7,824.47
08/02/2024,Clavos de acero,59,120.12
08/02/2024,Conectores eléctricos,71,1842.62
09/02/2024,Codo PVC,57,2375.53
09/02/2024,Toma corriente doble,95,1885.53
09/02/2024,Pegamento para PVC,43,2436.96
10/02/2024,Fusible,64,1892.7
10/02/2024,Pinzas universales,40,631.38
10/02/2024,Extensión eléctrica,56,1548.78
11/02/2024,Serrucho,21,591.25
11/02/2024,Cemento gris,32,1905.18
11/02/2024,Focos LED,35,1455.18
12/02/2024,Extensión eléctrica,85,1548.78
12/02/2024,Cinta masking,82,1062.02
13/02/2024,Arandelas,26,266.09
13/02/2024,Extensión eléctrica,15,1548.78
13/02/2024,Martillo,21,424.97
14/02/2024,Cemento gris,75,1905.18
14/02/2024,Extensión eléctrica,96,1548.78
14/02/2024,Ganchos de pared,64,337.56
15/02/2024,Interruptor termomagnético,26,1898.23
15/02/2024,Cinta masking,87,1062.02
16/02/2024,Malla ciclónica,35,2155.37
16/02/2024,Espátula metálica,39,1201.86
16/02/2024,Tornillos para metal,65,113.7
17/02/2024,Ganchos de pared,46,337.56
17/02/2024,Pinzas universales,3,631.38
17/02/2024,Grapas metálicas,30,401.56
18/02/2024,Martillo,54,424.97
18/02/2024,Martillo,72,424.97
18/02/2024,Conectores eléctricos,76,1842.62
19/02/2024,Trapo industrial,7,1277.03
19/02/2024,Taquetes,91,232.55
20/02/2024,Desarmador de cruz,14,535.8
20/02/2024,Pinzas universales,95,631.38
20/02/2024,Cutter,38,824.47
21/02/2024,Llave allen,78,567.73
21/02/2024,Tubo PVC de ½ pulgada,72,2202.06
21/02/2024,Cinta aislante,71,1321.73
22/02/2024,Tubo PVC de ½ pulgada,53,2202.06
22/02/2024,Cinta masking,40,1062.02
22/02/2024,Tornillos para madera,8,94.26
23/02/2024,Multicontacto,69,1732.15
23/02/2024,Tornillos para madera,89,94.26
24/02/2024,Extensión eléctrica,91,1548.78
24/02/2024,Extensión eléctrica,23,1548.78
24/02/2024,Martillo,1,424.97
25/02/2024,Silicón sellador,34,1126.67
25/02/2024,Pegamento para PVC,2,2436.96
25/02/2024,Guantes de látex,16,1221.16
26/02/2024,Cinta aislante,51,1321.73
26/02/2024,Cepillo de alambre,54,847.24
26/02/2024,Apagadores,70,1488.6
27/02/2024,Tornillos para madera,5,94.26
27/02/2024,Tornillos para metal,6,113.7
28/02/2024,Ganchos de pared,21,337.56
28/02/2024,Pegamento para PVC,43,2436.96
28/02/2024,Cal hidratada,95,2005.34
29/02/2024,Guantes de látex,36,1221.16
29/02/2024,Yeso,49,2060.65
29/02/2024,Conectores eléctricos,31,1842.62
01/03/2024,Focos LED,80,1455.18
01/03/2024,Tornillos para madera,81,94.26
01/03/2024,Fusible,68,1892.7
02/03/2024,Pinzas universales,56,631.38
02/03/2024,Cinta métrica,72,649.2
03/03/2024,Pinzas universales,23,631.38
03/03/2024,Cal hidratada,97,2005.34
03/03/2024,Tornillos para metal,71,113.7
04/03/2024,Cinta aislante,99,1321.73
04/03/2024,Desarmador de cruz,96,535.8
04/03/2024,Cable de cobre calibre 12,71,1782.49
05/03/2024,Codo PVC,15,2375.53
05/03/2024,Llave inglesa,28,540.94
06/03/2024,Fusible,46,1892.7
06/03/2024,Serrucho,5,591.25
06/03/2024,Conectores eléctricos,27,1842.62
07/03/2024,Arandelas,41,266.09
07/03/2024,Apagadores,12,1488.6
07/03/2024,Focos LED,34,1455.18
08/03/2024,Cepillo de alambre,51,847.24
08/03/2024,Thinner,93,1185.84
08/03/2024,Tornillos para metal,22,113.7
09/03/2024,Pijas,33,322.86
09/03/2024,Guantes de látex,80,1221.16
10/03/2024,Pinzas universales,63,631.38
10/03/2024,Guantes de látex,19,1221.16
10/03/2024,Multicontacto,98,1732.15
11/03/2024,Cinta aislante,97,1321.73
11/03/2024,Thinner,99,1185.84
11/03/2024,Taquetes,24,232.55
12/03/2024,Fusible,64,1892.7
12/03/2024,Llave inglesa,79,540.94
12/03/2024,Extensión eléctrica,66,1548.78
13/03/2024,Tornillos para madera,41,94.26
13/03/2024,Arandelas,5,266.09
14/03/2024,Cepillo de alambre,30,847.24
14/03/2024,Interruptor termomagnético,59,1898.23
14/03/2024,Extensión eléctrica,45,1548.78
15/03/2024,Espátula metálica,1,1201.86
15/03/2024,Cepillo de alambre,61,847.24
15/03/2024,Cinta masking,99,1062.02
16/03/2024,Tubo PVC de ½ pulgada,41,2202.06
16/03/2024,Varilla de acero,4,2071.19
16/03/2024,Varilla de acero,20,2071.19
17/03/2024,Tuercas,29,304.35
17/03/2024,Silicón sellador,40,1126.67
18/03/2024,Guantes de látex,85,1221.16
18/03/2024,Multicontacto,4,1732.15
18/03/2024,Fusible,92,1892.7
19/03/2024,Arena fina,15,1983.01
19/03/2024,Multicontacto,32,1732.15
19/03/2024,Cemento gris,9,1905.18
20/03/2024,Conectores eléctricos,83,1842.62
20/03/2024,Cutter,14,824.47
20/03/2024,Arandelas,48,266.09
21/03/2024,Pijas,40,322.86
21/03/2024,Arandelas,4,266.09
22/03/2024,Cepillo de alambre,34,847.24
22/03/2024,Yeso,24,2060.65
22/03/2024,Tornillos para metal,70,113.7
23/03/2024,Brocha de 2 pulgadas,18,960.72
23/03/2024,Lija para madera,88,1054.33
23/03/2024,Pijas,24,322.86
24/03/2024,Pijas,78,322.86
24/03/2024,Extensión eléctrica,94,1548.78
24/03/2024,Pintura vinílica blanca,21,2476.62
25/03/2024,Multicontacto,63,1732.15
25/03/2024,Espátula metálica,7,1201.86
26/03/2024,Multicontacto,9,1732.15
26/03/2024,Silicón sellador,8,1126.67
26/03/2024,Codo PVC,20,2375.53
27/03/2024,Grapas metálicas,33,401.56
27/03/2024,Thinner,85,1185.84
27/03/2024,Toma corriente doble,38,1885.53
28/03/2024,Apagadores,43,1488.6
28/03/2024,Desarmador de cruz,93,535.8
29/03/2024,Tuercas,82,304.35
29/03/2024,Trapo industrial,89,1277.03
29/03/2024,Varilla de acero,35,2071.19
30/03/2024,Conectores eléctricos,82,1842.62
30/03/2024,Conectores eléctricos,40,1842.62
30/03/2024,Cinta aislante,53,1321.73
31/03/2024,Pinzas universales,38,631.38
31/03/2024,Extensión eléctrica,89,1548.78
31/03/2024,Grapas metálicas,41,401.56
01/04/2024,Cemento gris,7,1905.18
01/04/2024,Cubeta plástica de 19 L,24,1267.7
02/04/2024,Varilla de acero,91,2071.19
02/04/2024,Cinta aislante,25,1321.73
02/04/2024,Extensión eléctrica,81,1548.78
03/04/2024,Arena fina,23,1983.01
03/04/2024,Taquetes,75,232.55
03/04/2024,Pegamento para PVC,8,2436.96
04/04/2024,Guantes de látex,75,1221.16
04/04/2024,Guantes de látex,46,1221.16
04/04/2024,Pijas,11,322.86
05/04/2024,Clavos de acero,54,120.12
05/04/2024,Lija para madera,14,1054.33
06/04/2024,Tornillos para madera,78,94.26
06/04/2024,Interruptor termomagnético,9,1898.23
06/04/2024,Cinta masking,48,1062.02
07/04/2024,Clavos de acero,53,120.12
07/04/2024,Rodillo para pintura,62,966.21
07/04/2024,Llave inglesa,4,540.94
08/04/2024,Tornillos para metal,68,113.7
08/04/2024,Guantes de látex,63,1221.16
08/04/2024,Llave inglesa,49,540.94
09/04/2024,Cinta masking,78,1062.02
09/04/2024,Serrucho,11,591.25
10/04/2024,Arandelas,46,266.09
10/04/2024,Remaches,78,405.92
10/04/2024,Ganchos de pared,50,337.56
11/04/2024,Cemento gris,24,1905.18
11/04/2024,Silicón sellador,63,1126.67
11/04/2024,Thinner,6,1185.84
12/04/2024,Cepillo de alambre,58,847.24
12/04/2024,Desarmador plano,54,534.85
12/04/2024,Cinta métrica,60,649.2
13/04/2024,Cepillo de alambre,75,847.24
13/04/2024,Cemento gris,39,1905.18
14/04/2024,Arandelas,72,266.09
14/04/2024,Cemento gris,99,1905.18
14/04/2024,Cal hidratada,22,2005.34
15/04/2024,Trapo industrial,85,1277.03
15/04/2024,Rodillo para pintura,9,966.21
15/04/2024,Lija para madera,50,1054.33
16/04/2024,Llave allen,91,567.73
16/04/2024,Taquetes,82,232.55
16/04/2024,Clavos de acero,10,120.12
17/04/2024,Desarmador de cruz,71,535.8
17/04/2024,Remaches,67,405.92
18/04/2024,Desarmador de cruz,83,535.8
18/04/2024,Tornillos para metal,75,113.7
18/04/2024,Pinzas universales,33,631.38
19/04/2024,Cutter,93,824.47
19/04/2024,Conectores eléctricos,3,1842.62
19/04/2024,Taquetes,18,232.55
20/04/2024,Arena fina,47,1983.01
20/04/2024,Cepillo de alambre,74,847.24
21/04/2024,Tornillos para madera,84,94.26
21/04/2024,Cinta métrica,95,649.2
21/04/2024,Brocha de 2 pulgadas,79,960.72
22/04/2024,Grapas metálicas,78,401.56
22/04/2024,Espátula metálica,11,1201.86
22/04/2024,Fusible,52,1892.7
23/04/2024,Varilla de acero,71,2071.19
23/04/2024,Llave inglesa,1,540.94
23/04/2024,Rodillo para pintura,32,966.21
24/04/2024,Tuercas,60,304.35
24/04/2024,Cable de cobre calibre 12,52,1782.49
25/04/2024,Tuercas,5,304.35
25/04/2024,Cinta métrica,64,649.2
25/04/2024,Extensión eléctrica,22,1548.78
26/04/2024,Varilla de acero,65,2071.19
26/04/2024,Martillo,23,424.97
26/04/2024,Apagadores,52,1488.6
27/04/2024,Malla ciclónica,31,2155.37
27/04/2024,Tubo PVC de ½ pulgada,8,2202.06
27/04/2024,Interruptor termomagnético,34,1898.23
28/04/2024,Llave allen,20,567.73
28/04/2024,Desarmador de cruz,17,535.8
29/04/2024,Llave inglesa,27,540.94
29/04/2024,Fusible,66,1892.7
29/04/2024,Cinta aislante,69,1321.73
30/04/2024,Codo PVC,43,2375.53
30/04/2024,Apagadores,87,1488.6
30/04/2024,Cutter,60,824.47
01/05/2024,Cinta aislante,50,1321.73
01/05/2024,Rodillo para pintura,48,966.21
01/05/2024,Pintura vinílica blanca,39,2476.62
02/05/2024,Conectores eléctricos,70,1842.62
02/05/2024,Interruptor termomagnético,56,1898.23
03/05/2024,Thinner,52,1185.84
03/05/2024,Tornillos para madera,56,94.26
03/05/2024,Pijas,44,322.86
04/05/2024,Guantes de látex,86,1221.16
04/05/2024,Tornillos para madera,49,94.26
04/05/2024,Extensión eléctrica,32,1548.78
05/05/2024,Rodillo para pintura,76,966.21
05/05/2024,Clavos de acero,79,120.12
05/05/2024,Tubo PVC de ½ pulgada,87,2202.06
06/05/2024,Martillo,13,424.97
06/05/2024,Arena fina,38,1983.01
07/05/2024,Rodillo para pintura,37,966.21
07/05/2024,Multicontacto,99,1732.15
07/05/2024,Cinta masking,25,1062.02
08/05/2024,Guantes de látex,96,1221.16
08/05/2024,Pintura vinílica blanca,26,2476.62
08/05/2024,Cal hidratada,92,2005.34
09/05/2024,Cinta masking,98,1062.02
09/05/2024,Taquetes,13,232.55
10/05/2024,Cinta métrica,13,649.2
10/05/2024,Arandelas,2,266.09
10/05/2024,Espátula metálica,2,1201.86
11/05/2024,Guantes de látex,38,1221.16
11/05/2024,Codo PVC,86,2375.53
11/05/2024,Cal hidratada,96,2005.34
12/05/2024,Lija para madera,79,1054.33
12/05/2024,Tubo PVC de ½ pulgada,54,2202.06
12/05/2024,Cal hidratada,35,2005.34
13/05/2024,Silicón sellador,26,1126.67
13/05/2024,Cutter,92,824.47
14/05/2024,Trapo industrial,95,1277.03
14/05/2024,Cinta aislante,29,1321.73
14/05/2024,Taquetes,87,232.55
15/05/2024,Rodillo para pintura,90,966.21
15/05/2024,Varilla de acero,90,2071.19
15/05/2024,Cemento gris,83,1905.18
16/05/2024,Espátula metálica,78,1201.86
16/05/2024,Taquetes,86,232.55
16/05/2024,Tornillos para metal,20,113.7
17/05/2024,Rodillo para pintura,16,966.21
17/05/2024,Desarmador plano,60,534.85
18/05/2024,Thinner,63,1185.84
18/05/2024,Extensión eléctrica,58,1548.78
18/05/2024,Codo PVC,6,2375.53
19/05/2024,Cable de cobre calibre 12,66,1782.49
19/05/2024,Desarmador plano,45,534.85
19/05/2024,Cinta métrica,41,649.2
20/05/2024,Apagadores,21,1488.6
20/05/2024,Extensión eléctrica,77,1548.78
20/05/2024,Thinner,35,1185.84
21/05/2024,Toma corriente doble,32,1885.53
21/05/2024,Arandelas,3,266.09
22/05/2024,Fusible,14,1892.7
22/05/2024,Brocha de 2 pulgadas,38,960.72
22/05/2024,Conectores eléctricos,38,1842.62
23/05/2024,Remaches,42,405.92
23/05/2024,Lija para madera,40,1054.33
23/05/2024,Remaches,44,405.92
24/05/2024,Serrucho,99,591.25
24/05/2024,Cepillo de alambre,33,847.24
24/05/2024,Arandelas,57,266.09
25/05/2024,Martillo,92,424.97
25/05/2024,Espátula metálica,99,1201.86
26/05/2024,Pegamento para PVC,30,2436.96
26/05/2024,Taquetes,73,232.55
26/05/2024,Apagadores,45,1488.6
27/05/2024,Trapo industrial,46,1277.03
27/05/2024,Martillo,9,424.97
27/05/2024,Serrucho,50,591.25
28/05/2024,Cable de cobre calibre 12,55,1782.49
28/05/2024,Multicontacto,6,1732.15
28/05/2024,Malla ciclónica,30,2155.37
29/05/2024,Varilla de acero,25,2071.19
29/05/2024,Yeso,95,2060.65
30/05/2024,Pintura vinílica blanca,95,2476.62
30/05/2024,Pijas,38,322.86
30/05/2024,Arandelas,58,266.09
31/05/2024,Varilla de acero,55,2071.19
31/05/2024,Pintura vinílica blanca,8,2476.62
31/05/2024,Clavos de acero,42,120.12
01/06/2024,Interruptor termomagnético,82,1898.23
01/06/2024,Cal hidratada,19,2005.34
02/06/2024,Espátula metálica,94,1201.86
02/06/2024,Cinta masking,99,1062.02
02/06/2024,Pintura vinílica blanca,58,2476.62
03/06/2024,Multicontacto,79,1732.15
03/06/2024,Serrucho,66,591.25
03/06/2024,Martillo,90,424.97
04/06/2024,Grapas metálicas,18,401.56
04/06/2024,Espátula metálica,99,1201.86
04/06/2024,Thinner,13,1185.84
05/06/2024,Extensión eléctrica,32,1548.78
05/06/2024,Extensión eléctrica,55,1548.78
06/06/2024,Silicón sellador,49,1126.67
06/06/2024,Serrucho,3,591.25
06/06/2024,Brocha de 2 pulgadas,96,960.72
07/06/2024,Tornillos para madera,85,94.26
07/06/2024,Focos LED,5,1455.18
07/06/2024,Apagadores,79,1488.6
08/06/2024,Cepillo de alambre,62,847.24
08/06/2024,Cepillo de alambre,4,847.24
08/06/2024,Lija para madera,94,1054.33
09/06/2024,Focos LED,18,1455.18
09/06/2024,Clavos de acero,54,120.12
10/06/2024,Toma corriente doble,27,1885.53
10/06/2024,Guantes de látex,46,1221.16
10/06/2024,Ganchos de pared,63,337.56
11/06/2024,Taquetes,96,232.55
11/06/2024,Guantes de látex,94,1221.16
11/06/2024,Cinta masking,2,1062.02
12/06/2024,Cutter,55,824.47
12/06/2024,Interruptor termomagnético,54,1898.23
12/06/2024,Toma corriente doble,46,1885.53
13/06/2024,Arandelas,87,266.09
13/06/2024,Brocha de 2 pulgadas,99,960.72
14/06/2024,Focos LED,36,1455.18
14/06/2024,Grapas metálicas,19,401.56
14/06/2024,Trapo industrial,6,1277.03
15/06/2024,Focos LED,10,1455.18
15/06/2024,Rodillo para pintura,17,966.21
15/06/2024,Multicontacto,29,1732.15
16/06/2024,Cinta métrica,87,649.2
16/06/2024,Toma corriente doble,25,1885.53
16/06/2024,Tubo PVC de ½ pulgada,42,2202.06
17/06/2024,Interruptor termomagnético,67,1898.23
17/06/2024,Remaches,22,405.92
18/06/2024,Pintura vinílica blanca,94,2476.62
18/06/2024,Multicontacto,21,1732.15
18/06/2024,Cinta masking,8,1062.02
19/06/2024,Desarmador plano,89,534.85
19/06/2024,Apagadores,80,1488.6
19/06/2024,Thinner,87,1185.84
20/06/2024,Remaches,12,405.92
20/06/2024,Silicón sellador,77,1126.67
21/06/2024,Remaches,9,405.92
21/06/2024,Cepillo de alambre,21,847.24
21/06/2024,Clavos de acero,56,120.12
22/06/2024,Cable de cobre calibre 12,34,1782.49
22/06/2024,Multicontacto,79,1732.15
22/06/2024,Pinzas universales,95,631.38
23/06/2024,Pintura vinílica blanca,73,2476.62
23/06/2024,Tubo PVC de ½ pulgada,25,2202.06
23/06/2024,Rodillo para pintura,72,966.21
24/06/2024,Tubo PVC de ½ pulgada,66,2202.06
24/06/2024,Cubeta plástica de 19 L,2,1267.7
25/06/2024,Varilla de acero,69,2071.19
25/06/2024,Interruptor termomagnético,6,1898.23
25/06/2024,Toma corriente doble,73,1885.53
26/06/2024,Codo PVC,25,2375.53
26/06/2024,Thinner,13,1185.84
26/06/2024,Cutter,33,824.47
27/06/2024,Clavos de acero,91,120.12
27/06/2024,Pegamento para PVC,66,2436.96
27/06/2024,Remaches,38,405.92
28/06/2024,Arandelas,76,266.09
28/06/2024,Cepillo de alambre,27,847.24
29/06/2024,Cable de cobre calibre 12,69,1782.49
29/06/2024,Conectores eléctricos,93,1842.62
29/06/2024,Brocha de 2 pulgadas,11,960.72
30/06/2024,Tuercas,92,304.35
30/06/2024,Lija para madera,22,1054.33
30/06/2024,Arandelas,88,266.09
01/07/2024,Trapo industrial,86,1277.03
01/07/2024,Taquetes,85,232.55
01/07/2024,Cinta aislante,77,1321.73
02/07/2024,Remaches,15,405.92
02/07/2024,Cinta aislante,90,1321.73
03/07/2024,Arena fina,28,1983.01
03/07/2024,Llave inglesa,80,540.94
03/07/2024,Pijas,11,322.86
04/07/2024,Tuercas,68,304.35
04/07/2024,Silicón sellador,36,1126.67
04/07/2024,Malla ciclónica,85,2155.37
05/07/2024,Thinner,62,1185.84
05/07/2024,Pijas,96,322.86
05/07/2024,Cinta masking,23,1062.02
06/07/2024,Cepillo de alambre,85,847.24
06/07/2024,Tornillos para madera,11,94.26
07/07/2024,Yeso,71,2060.65
07/07/2024,Fusible,77,1892.7
07/07/2024,Interruptor termomagnético,87,1898.23
08/07/2024,Tornillos para madera,82,94.26
08/07/2024,Cubeta plástica de 19 L,21,1267.7
08/07/2024,Interruptor termomagnético,49,1898.23
09/07/2024,Grapas metálicas,45,401.56
09/07/2024,Remaches,41,405.92
09/07/2024,Trapo industrial,1,1277.03
10/07/2024,Fusible,23,1892.7
10/07/2024,Trapo industrial,14,1277.03
11/07/2024,Cal hidratada,30,2005.34
11/07/2024,Espátula metálica,67,1201.86
11/07/2024,Clavos de acero,72,120.12
12/07/2024,Extensión eléctrica,12,1548.78
12/07/2024,Tuercas,98,304.35
12/07/2024,Conectores eléctricos,13,1842.62
13/07/2024,Tubo PVC de ½ pulgada,38,2202.06
13/07/2024,Varilla de acero,75,2071.19
14/07/2024,Llave inglesa,87,540.94
14/07/2024,Conectores eléctricos,73,1842.62
14/07/2024,Varilla de acero,55,2071.19
15/07/2024,Tuercas,23,304.35
15/07/2024,Tornillos para madera,62,94.26
15/07/2024,Fusible,38,1892.7
16/07/2024,Tubo PVC de ½ pulgada,95,2202.06
16/07/2024,Cinta aislante,33,1321.73
16/07/2024,Yeso,66,2060.65
17/07/2024,Cubeta plástica de 19 L,47,1267.7
17/07/2024,Martillo,34,424.97
18/07/2024,Martillo,88,424.97
18/07/2024,Pintura vinílica blanca,27,2476.62
18/07/2024,Arandelas,72,266.09
19/07/2024,Guantes de látex,91,1221.16
19/07/2024,Cable de cobre calibre 12,10,1782.49
19/07/2024,Yeso,19,2060.65
20/07/2024,Brocha de 2 pulgadas,61,960.72
20/07/2024,Arena fina,37,1983.01
20/07/2024,Tornillos para madera,7,94.26
21/07/2024,Focos LED,72,1455.18
21/07/2024,Martillo,7,424.97
22/07/2024,Lija para madera,41,1054.33
22/07/2024,Lija para madera,14,1054.33
22/07/2024,Desarmador plano,80,534.85
23/07/2024,Thinner,8,1185.84
23/07/2024,Lija para madera,33,1054.33
23/07/2024,Pintura vinílica blanca,71,2476.62
24/07/2024,Focos LED,77,1455.18
24/07/2024,Tornillos para madera,1,94.26
24/07/2024,Pegamento para PVC,7,2436.96
25/07/2024,Codo PVC,97,2375.53
25/07/2024,Apagadores,42,1488.6
26/07/2024,Serrucho,4,591.25
26/07/2024,Cubeta plástica de 19 L,57,1267.7
26/07/2024,Desarmador de cruz,85,535.8
27/07/2024,Ganchos de pared,34,337.56
27/07/2024,Cubeta plástica de 19 L,82,1267.7
27/07/2024,Guantes de látex,29,1221.16
28/07/2024,Tornillos para metal,54,113.7
28/07/2024,Pijas,84,322.86
28/07/2024,Tubo PVC de ½ pulgada,58,2202.06
29/07/2024,Pinzas universales,39,631.38
29/07/2024,Llave inglesa,26,540.94
30/07/2024,Brocha de 2 pulgadas,33,960.72
30/07/2024,Yeso,18,2060.65
30/07/2024,Extensión eléctrica,77,1548.78
31/07/2024,Ganchos de pared,97,337.56
31/07/2024,Interruptor termomagnético,3,1898.23
31/07/2024,Cutter,18,824.47
01/08/2024,Desarmador plano,93,534.85
01/08/2024,Interruptor termomagnético,73,1898.23
01/08/2024,Fusible,99,1892.7
02/08/2024,Cutter,1,824.47
02/08/2024,Malla ciclónica,77,2155.37
03/08/2024,Serrucho,4,591.25
03/08/2024,Arandelas,77,266.09
03/08/2024,Serrucho,63,591.25
04/08/2024,Tubo PVC de ½ pulgada,89,2202.06
04/08/2024,Cutter,31,824.47
04/08/2024,Pinzas universales,27,631.38
05/08/2024,Desarmador plano,15,534.85
05/08/2024,Toma corriente doble,78,1885.53
06/08/2024,Llave inglesa,92,540.94
06/08/2024,Guantes de látex,49,1221.16
06/08/2024,Silicón sellador,40,1126.67
07/08/2024,Conectores eléctricos,33,1842.62
07/08/2024,Conectores eléctricos,69,1842.62
07/08/2024,Tornillos para metal,68,113.7
08/08/2024,Cable de cobre calibre 12,53,1782.49
08/08/2024,Pijas,73,322.86
08/08/2024,Thinner,54,1185.84
09/08/2024,Extensión eléctrica,49,1548.78
09/08/2024,Multicontacto,24,1732.15
10/08/2024,Rodillo para pintura,85,966.21
10/08/2024,Cinta masking,85,1062.02
10/08/2024,Toma corriente doble,18,1885.53
11/08/2024,Codo PVC,6,2375.53
11/08/2024,Multicontacto,82,1732.15
11/08/2024,Cal hidratada,56,2005.34
12/08/2024,Multicontacto,57,1732.15
12/08/2024,Varilla de acero,49,2071.19
12/08/2024,Yeso,24,2060.65
13/08/2024,Tornillos para metal,38,113.7
13/08/2024,Interruptor termomagnético,60,1898.23
14/08/2024,Pegamento para PVC,86,2436.96
14/08/2024,Tubo PVC de ½ pulgada,11,2202.06
14/08/2024,Tuercas,3,304.35
15/08/2024,Grapas metálicas,6,401.56
15/08/2024,Thinner,31,1185.84
15/08/2024,Toma corriente doble,19,1885.53
16/08/2024,Extensión eléctrica,35,1548.78
16/08/2024,Cinta masking,5,1062.02
16/08/2024,Lija para madera,37,1054.33
17/08/2024,Desarmador plano,56,534.85
17/08/2024,Cepillo de alambre,89,847.24
18/08/2024,Pinzas universales,20,631.38
18/08/2024,Serrucho,23,591.25
18/08/2024,Cemento gris,28,1905.18
19/08/2024,Arandelas,62,266.09
19/08/2024,Rodillo para pintura,29,966.21
19/08/2024,Arena fina,64,1983.01
20/08/2024,Cemento gris,8,1905.18
20/08/2024,Tubo PVC de ½ pulgada,96,2202.06
20/08/2024,Tubo PVC de ½ pulgada,12,2202.06
21/08/2024,Cepillo de alambre,64,847.24
21/08/2024,Serrucho,36,591.25
22/08/2024,Tubo PVC de ½ pulgada,55,2202.06
